address,place_name,relevance,longitude,lattitude
"Electronic City Phase II,Bangalore,Karnataka,India","Electronic City Phase II, Electronic City, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.680811,12.843526
"Chikka Tirupathi,Bangalore,Karnataka,India","Chikka Tirupathi Temple, NH 207, Malur, Karnataka 563163, India",0.818222,77.865734,12.895305
"Uttarahalli,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.75,77.5913,12.97912
"Lingadheeranahalli,Bangalore,Karnataka,India","Lingadheeranahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.541279,12.880725
"Kothanur,Bangalore,Karnataka,India","Kothanur, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.649389,13.06136
"Whitefield,Bangalore,Karnataka,India","Whitefield, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.749745,12.969637
"Old Airport Road,Bangalore,Karnataka,India","Hal Underpass, Sudhama Nagar, 560017, Jeevanbheemanagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.6661308,12.9584404
"Rajaji Nagar,Bangalore,Karnataka,India","Rajaji Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.554883,12.988234
"Marathahalli,Bangalore,Karnataka,India","Marathahalli, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.698416,12.955257
"Gandhi Bazar,Bangalore,Karnataka,India","Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, India",0.996806,77.571331,12.945311
"7th Phase JP Nagar,Bangalore,Karnataka,India","JP Nagar, Bengaluru, Bengaluru Urban, Karnataka, India",0.771905,77.586607,12.909694
"Gottigere,Bangalore,Karnataka,India","Gottigere, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.587724,12.856532
"Sarjapur,Bangalore,Karnataka,India","Sarjapura Road, 560035, Kaikondrahalli, Bengaluru, Bengaluru Urban, Karnataka, India",0.96,77.687841195793,12.90982715
"Mysore Road,Bangalore,Karnataka,India","Mysore Road, Byatarayanapura, 560026, Banashankari, Bengaluru, Bengaluru Urban, Karnataka, India",1.0,77.5414353,12.9526539
"Bisuvanahalli,Bangalore,Karnataka,India","Bisuvanahalli, Dod Ballapur, Bengaluru Rural, Karnataka, India",0.875,77.554088,13.235592
"Raja Rajeshwari Nagar,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.638889,77.5913,12.97912
"Ramakrishnappa Layout,Bangalore,Karnataka,India","Bengaluru, Karnataka, India",0.683333,77.5913,12.97912
