area_type,availability,location,size,society,total_sqft,bath,balcony,price,month,ready,extract,address
Super built-up  Area,19-Dec,Electronic City Phase II,2.0,Coomee ,6.963189985870238,2.0,1.0,3.6906279246480533,Dec,,Dec,"Electronic City Phase II,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Chikka Tirupathi,4.0,Theanmp,7.8636512654486515,5.0,3.0,4.795790545596741,,Ready To Move,Ready To Move,"Chikka Tirupathi,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Uttarahalli,3.0,others,7.273092595999522,2.0,3.0,4.143134726391533,,Ready To Move,Ready To Move,"Uttarahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Lingadheeranahalli,3.0,Soiewre,7.3277805384216315,3.0,1.0,4.564348191467836,,Ready To Move,Ready To Move,"Lingadheeranahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Kothanur,2.0,others,7.0909098220799835,2.0,1.0,3.9512437185814275,,Ready To Move,Ready To Move,"Kothanur,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Whitefield,2.0,DuenaTa,7.065613363597717,2.0,1.0,3.6635616461296463,,Ready To Move,Ready To Move,"Whitefield,Bangalore,Karnataka,India"
Super built-up  Area,18-May,Old Airport Road,4.0,Jaades ,7.913155185928068,4.0,2.0,5.3230099791384085,May,,May,"Old Airport Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Rajaji Nagar,4.0,Brway G,8.101980731853192,4.0,2.0,6.398594934535208,,Ready To Move,Ready To Move,"Rajaji Nagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Marathahalli,3.0,others,7.1785454837637,3.0,1.0,4.162781723775329,,Ready To Move,Ready To Move,"Marathahalli,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Gandhi Bazar,6.0,others,6.928537818164665,6.0,2.0,5.916202062607435,,Ready To Move,Ready To Move,"Gandhi Bazar,Bangalore,Karnataka,India"
Super built-up  Area,18-Feb,Whitefield,3.0,others,7.496097345175956,2.0,2.0,4.2626798770413155,Feb,,Feb,"Whitefield,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Whitefield,4.0,Prrry M,7.932362154339751,5.0,3.0,5.69035945432406,,Ready To Move,Ready To Move,"Whitefield,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,Shncyes,6.90875477931522,2.0,1.0,3.6635616461296463,,Ready To Move,Ready To Move,"7th Phase JP Nagar,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Gottigere,2.0,others,7.00397413672268,2.0,2.0,3.713572066704308,,Ready To Move,Ready To Move,"Gottigere,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Sarjapur,3.0,Skityer,7.719129840906732,3.0,2.0,5.003946305945459,,Ready To Move,Ready To Move,"Sarjapur,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Mysore Road,2.0,PrntaEn,7.069874128458572,2.0,2.0,4.310799125385514,,Ready To Move,Ready To Move,"Mysore Road,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Bisuvanahalli,3.0,Prityel,7.074116816197362,3.0,2.0,3.8918202981106265,,Ready To Move,Ready To Move,"Bisuvanahalli,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,GrrvaGr,7.340186835320115,3.0,3.0,4.110873864173311,,Ready To Move,Ready To Move,"Raja Rajeshwari Nagar,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3.0,PeBayle,7.9269635448629785,4.0,2.0,5.673323267171493,,Ready To Move,Ready To Move,"Ramakrishnappa Layout,Bangalore,Karnataka,India"
Super built-up  Area,Ready To Move,Manayata Tech Park,2.0,others,7.00397413672268,2.0,2.0,3.8918202981106265,,Ready To Move,Ready To Move,"Manayata Tech Park,Bangalore,Karnataka,India"
Built-up  Area,Ready To Move,Kengeri,1.0,others,6.398594934535208,1.0,1.0,2.772588722239781,,Ready To Move,Ready To Move,"Kengeri,Bangalore,Karnataka,India"
Super built-up  Area,19-Dec,Binny Pete,3.0,She 2rk,7.470793774195062,3.0,1.0,4.812184355372417,Dec,,Dec,"Binny Pete,Bangalore,Karnataka,India"
Plot  Area,Ready To Move,Thanisandra,4.0,Soitya ,7.937731775260109,5.0,2.0,5.942799375126701,,Ready To Move,Ready To Move,"Thanisandra,Bangalore,Karnataka,India"
